year,gear,latitude,longitude,buffer,target_volume,elasmo_volume,trip_day
2021,longline,20.04706511,66.71350483,20000,10200,1320,34
2021,longline,17.51234126,64.70536432,30000,12500,400,34
2021,longline,15.67345088,68.49851862,30000,6000,0,25
2021,longline,15.5615384,67.52707059,30000,11500,150,14
2021,longline,15.75043484,64.73702962,30000,20500,0,17
2021,longline,13.49383999,64.3882745,30000,8000,0,26
2021,longline,15.45652081,68.94388826,30000,6000,1400,10
2021,longline,13.83272502,69.79397887,30000,12000,0,16
2022,longline,20.63338499,67.47170361,30000,10000,150,29
2022,longline,13.5548268,68.13540451,30000,4250,1550,23
2022,longline,13.41140275,64.96438911,20000,10000,600,39
2022,gillnet,12.29702717,68.72536086,20000,2960,1200,39
2022,gillnet,16.93387547,70.38461311,20000,8800,0,13
2022,gillnet,12.04472289,68.5409995,20000,11500,2300,23
2022,gillnet,15.30449613,64.78002775,20000,0,12800,15
2022,gillnet,15.19777502,71.26954764,20000,17900,2100,33
2022,gillnet,12.90874962,67.3610868,20000,9000,3100,15
2022,gillnet,15.65983855,68.13540451,35000,5000,1500,37
2023,gillnet,13.91300661,69.79465675,35000,7300,1500,35
2023,gillnet,18.68903857,65.66496228,35000,7500,700,40
2023,gillnet,13.94879435,68.50412723,35000,14500,100,30
2023,gillnet,11.82827305,66.43928,35000,3900,1200,20
2023,gillnet,15.19777502,70.7902081,35000,10500,980,25
2023,gillnet,12.98062007,67.84042633,35000,7710,124,36
2023,longline,12.00865994,70.38461311,35000,9100,475,35
2023,longline,12.98062007,70.42148538,35000,3800,200,10
2023,longline,14.44923385,67.95104315,20000,9700,770,13
2024,longline,14.02035316,66.88174726,20000,10400,500,28
2024,longline,12.76494682,71.82263172,20000,4400,6000,23
2024,longline,12.62106221,72.78131079,20000,10500,120,13
2024,gillnet,18.86358858,67.43483134,20000,2525,0,23
2024,gillnet,13.19610634,66.84487499,20000,3150,900,26
2024,gillnet,12.90874962,69.16782813,20000,9500,0,14
2024,gillnet,19.52521125,67.50857588,20000,2695,860,15
2024,gillnet,12.29702717,65.66496228,20000,5500,6700,23
2024,gillnet,13.01654751,71.01144173,20000,835,362,22
2024,longline,19.10765335,65.40685638,30000,500,3000,16
2024,longline,18.68903857,68.13540451,30000,3700,500,11
2024,longline,12.69301469,65.88619591,30000,5500,2640,10
2024,longline,10.19964216,65.84932364,30000,10000,3000,29
2024,longline,18.09423033,65.59121774,30000,4850,300,26
